file_name,address,name,label,probable_expanded_name,reference_count,system_area,description
Bank00.asm,$C006,ModAttribBits,ModAttribBits,ModAttribBits,3,PPU,
Bank00.asm,$C0F4,GetNPCSpriteIndex,GetNPCSpriteIndex,GetNPCSpriteIndex,3,Graphics,
Bank00.asm,$C1C9,WordMultiply,WordMultiply,WordMultiply,12,Math,
Bank00.asm,$C1F0,ByteDivide,ByteDivide,ByteDivide,12,Math,
Bank00.asm,$C212,PalFadeOut,PalFadeOut,PaletteFadeOut,10,General,
Bank00.asm,$C244,ClearAttribByte,ClearAttribByte,ClearAttribByte,3,PPU,
Bank00.asm,$C529,PalFadeIn,PalFadeIn,PaletteFadeIn,14,General,
Bank00.asm,$C55B,UpdateRandNumber,UpdateRandNumber,UpdateRandNumber,1,General,Abbreviated alias
Bank00.asm,$C596,CalcPPUBufferAddr,CalcPPUBufferAddr,CalculatePPUBufferAddr,2,PPU,Abbreviated alias
Bank00.asm,$C5AA,DoAddressCalculation,DoAddressCalculation,DoAddressCalculation,6,Math,Abbreviated alias
Bank00.asm,$C632,PrepSPPalLoad,PrepSPPalLoad,PrepSPPalLoad,12,General,Abbreviated alias
Bank00.asm,$C63D,PrepBGPalLoad,PrepBGPalLoad,PrepBGPalLoad,15,General,Abbreviated alias
Bank00.asm,$C690,AddPPUBufferEntry,AddPPUBufferEntry,AddPPUBufferEntry,32,PPU,Abbreviated alias
Bank00.asm,$C6BB,ClearSpriteRAM,ClearSpriteRAM,ClearSpriteRAM,14,Graphics,Abbreviated alias
Bank00.asm,$CB30,IdleUpdate,IdleUpdate,IdleUpdate,7,General,
Bank00.asm,$CBF7,CheckForTriggers,CheckForTriggers,CheckForTriggers,2,General,
Bank00.asm,$D9E2,ChangeMaps,ChangeMaps,ChangeMaps,9,Map,
Bank00.asm,$F461,MapTargetTbl,MapTargetTbl,MapTargetTbl,10,Map,Abbreviated alias
Bank00.asm,$F5B3,GFXTilesPointer,GFXTilesPointer,GFXTilesPointer,1,Graphics,Abbreviated alias
Bank00.asm,$FC98,Bank1ToCHR0,Bank1ToCHR0,Bank1ToCHR0,1,Graphics,Abbreviated alias
Bank00.asm,$FCA3,Bank0ToCHR0,Bank0ToCHR0,Bank0ToCHR0,3,Graphics,Abbreviated alias
Bank00.asm,$FCA8,Bank0ToCHR1,Bank0ToCHR1,Bank0ToCHR1,1,Graphics,Abbreviated alias
Bank00.asm,$FCAD,Bank2ToCHR1,Bank2ToCHR1,Bank2ToCHR1,1,Graphics,Abbreviated alias
Bank00.asm,$FF74,WaitForNMI,WaitForNMI,WaitForNMI,144,System,Abbreviated alias
Bank00.asm,$FF8E,_DoReset,_DoReset,_DoReset,6,System,
Bank00.asm,,ArmorBonusTbl,ArmorBonusTbl,ArmorBonusTbl,0,Combat,Erdrick's sword +40. | This table contains armor bonuses added to the | agility score to produce the defense power stat.
Bank00.asm,,ArmorKnightPal,ArmorKnightPal,ArmorKnightPal,0,Items,
Bank00.asm,,AttributeClearLoop1,AttributeClearLoop1,AttributeClearLoop1,1,PPU,Prepare to change the attribute table for a given row. | ($FF74)Wait for VBlank interrupt. | ($C244)Set black palette for 4x4 block area.
Bank00.asm,,AttributeClearLoop2,AttributeClearLoop2,AttributeClearLoop2,1,PPU,Prepare to change a 5 block section. | ($FF74)Wait for VBlank interrupt. | ($C244)Set black palette for 4x4 block area.
Bank00.asm,,AxeKnightPal,AxeKnightPal,AxeKnightPal,0,General,
Bank00.asm,,BDragonPal,BDragonPal,BDragonPal,0,General,
Bank00.asm,,BSlimePal,BSlimePal,BSlimePal,0,PPU,Enemy sprite palettes.
Bank00.asm,,BadEndBGPal,BadEndBGPal,BadEndBGPal,5,General,
Bank00.asm,,BadEndBGPalPtr,BadEndBGPalPtr,BadEndBGPalPtr,2,PPU,(9A8B)Normal sprite palette used while walking on map. | (9A7F)Palette used when enemy is casting a spell. | ($9AA3)Palette when choosing to join the dragonlord.
Bank00.asm,,BankPointers,BankPointers,BankPointers,8,System,The following table contains functions called from bank 3 through the IRQ interrupt. | Unused.
Bank00.asm,,BlackPal,BlackPal,BlackPal,15,PPU,Palette data.
